transcript,confidence
call with customer on the line and we'll be off,0.60949194
 so I started working with Otis and I actually work to help them customer Journey map for the maintenance organization and also done some work with interviewing your customers directly asking them their feedback current experience really have a couple of them if you want to understand from your parole interviews and then all the information is really need to cut after a day in the life like in your room so the interview we are recording,0.8922179
 because it's important that we want you to be candid and and offer input and so being confident alone is really important so there's no right or wrong answer,0.8295689
 and how was I selected our office has given us a little extra and so they have put them together so online survey all people in the role of meat and technicians in the supervisor a couple weeks you can get an online serving as well with questions that have similar artist Collective three cities um I think it's Kansas City to Minneapolis for the focus group and then I'm also in Minneapolis from Minneapolis to be doing a side-by-side with someone in the tech roll who had to get a perspective and then the names like in your case they also the names and then,0.89927137
 when's the managers and others has selected people to the interview,0.79872507
 Thailand how long you been with older,0.8193402
 I've been without it now about 11 years and I am currently in the pyramid,0.783116
 and were you in the business before coming to Otis did you work for any of us as competitors,0.71073306
 I want to come over photographic require fewer with customers say is the expertise skills that you think a really important for somebody to have to be accepted in your role,0.8994732
 winter kills,0.4224835
 Indian roller for activities that you're responsible for,0.73428845
 iCarly as a repair mechanics of what you do today what are the three or four main things that you do kind of me in your room,0.8226805
 what are you doing general maintenance are you doing as well as I do or don't,0.73588115
 I don't know what the problem could be,0.6187866
 when you get called in in an interview that is another mechanic another test that has that let me know if they perform that you come in primarily if there's something that needs to be done from a janitor repair,0.848182
 okay okay and then stay in their particular case what are the most challenging aspects of your role,0.7993163
 I'm being a doctor.,0.49429673
 so in that case how does Otis help you stay abreast of all those and I'm assuming that in some cases like I said it's the older equipment and you've been challenged to if you need help on equipment or whatever you to make sure that you have some kind of the latest things to do,0.9284488
 how is your how is your daily route planned for what you do is it is it is it a plan Road or is a lot of what you do you know calm and an anchor for 10 minutes,0.8296017
 every weekend I usually meet there,0.8134603
 in the kind of role that you have for kind of your your office location for the area that you support how many people are in the role that urea,0.8775414
 Atlantic who is it like and you also put some things on the board based on what you hear how to contact what's your main form of communication when you're on site in terms of finding out about other repairs in with you,0.8988289
 how can end in a particular case,0.83190495
 bad heading somewhere when you're on site and your kind of getting you because of your credit card and I need to repair but you're not getting a call back for things like that you're allowed pretty much to focus and left something else comes up in the supervisor has to communicate with you,0.86429113
 well if,0.8262899
 and in that case if you know it may be an issue but you're not doing like a call back or something like that comes up again it's not a regular person,0.8834532
 you know that determination don't call back the stuff like that go to the supervisor the ones that are making a decision cuz it's not coming from like an old is wine or something like that,0.8782323
 can a particular King sounds like you and your service service supervisor it are the ones really prioritizing prioritizing you work but it happens because of something you know or something he knows about,0.83670187
 okay let me have another call with something in the maintenance person it sounds like does he can only markets that have a position like yours where it's just you know repair damaged office,0.8077869
 weather,0.3829001
 okay,0.7436471
 about what you do,0.5943335
 what about things you like to leave,0.80357784
 answer phone through three or four people don't have the party or is it like it's required that I can't make this decision on my own can you think of like an example,0.862519
 the biggest priority,0.8965078
 that's that sounds like what I'm hearing is there tends to be a lot of things like that so it sounds like some of those,0.8744373
 we're not terribly,0.63307685
 yeah so it sounds like that one of the things you I'm hearing you say is this lack of,0.77858204
 protocol the safety it's almost like you're not trusting people right and so in the end there he knows they're becoming make it difficult for you to your job and then eventually impact the customer how does it impact the customers have all these protocols for things like that,0.90023154
 PenFed,0.40146974
 geography in some cases test have different needs and sold some of some of the processes that are times and sending that may work 24/7,0.75841933
 okay,0.7545742
 yeah usually is her like those there you know you're calling somebody because you don't it's not acceptable if you got to fix something,0.8581434
 what about,0.69159377
 kind of training Otis provides what kind of training and support you get as well as training and are there any gas there anything that you think could be improved if you'd like to see them.,0.90469205
 Directions to,0.8133436
 providing,0.42737922
 yeah I've heard that before like the apps on the phone that he's got like in the areas that you've got an issue with that so that sounds like that seems to be a lot of lot of either okay,0.90767866
 in terms of unit of life is to Define really what what should the phone do and if it's really more about facilitating work it doesn't need to have the bills and the other two separate pieces of equipment for the,0.8651121
 Again part of it seems like what I'm hearing is you are really not necessarily to make it easier for the steel it's really to make it it's it's more either what you're saying is it's more than people,0.90462565
 or hooking work out right is that with him.,0.74921256
