transcript,confidence
time and I just want to give you a little bit of background on you know what we're doing today so I've been working with her a couple of years now and I initially get to work with them on developing the customer and ask for the service. We also the project is really to talk to supervisor to meet your perspective of the truth. And I call it for the day in the life what are your point but an opportunity really don't understand your room and you can,0.9248657
series of one-on-one interviews can be doing some focus group and then we're also going to be doing an online survey and all the information is confidential and will be scared by an anchor recording it but it's more for us to take notes and once we get our report download,0.92074096
 telling me a little bit about,0.8516472
 and how long you been without it,0.60186154
 I'm here,0.4346526
 on the other side of things are together,0.6397674
 Pandora Radio,0.48678958
 Otis Elevator,0.39717135
 coming in from your feet really that you had what kind of background is really helpful for someone coming into your room you have a good understanding of,0.7821426
 learning everything from the ground up somebody coming into the role I dealing with elderly.,0.84592575
 People like to hire you didn't leave,0.5835209
 the electrical that elevator on the job,0.55304605
 people in the field,0.6320972
 well organized,0.6695502
 well organized attention to details Plus in softball,0.6610373
 how many apps do this from your perspective coming in as you know the United States work,0.6691731
 the office,0.58348495
 what was your perspective in terms of supervising employees long can elevating how do you overcome their building rapport with your team,0.8100366
 some people never like,0.7816062
 properly,0.87297785
 you know there's a lot of stuff that happens on the ground floor,0.8659101
 very specific line crossed over that way,0.6676486
 with some understanding,0.66107607
 I don't know the situation no more than you you have to leave this generation,0.73356795
 let me ask in cursive,0.6639313
 talk about the corporate interview,0.39794788
 what's the biggest hole in your mind or he talked about this Balancing Act between her what happens in Act 4 compensable for miscommunication,0.8566064
 experience of the idea,0.865951
 set alarm technicians are the only consistent thing to their customers over the years,0.8161315
 can I please have a lot of it,0.56694764
 call Questar Gas,0.90261585
 like I said we have a very strong program but we have a couple people that work really late they send him the responsibility of his supervisor,0.7456895
 the lottery,0.398507
 really,0.56306016
 nevermind,0.58014286
 what is conformity,0.76998234
 so what you're saying is,0.8788475
 even though sometimes we're not doing anything but if you ask,0.69251066
 okay so let me ask them about to head inside one of the things we hear a lot to repair window you're part of it but we've got your money is right and then in there for time so it's the way the nation,0.8684283
 open order I mean,0.9354522
 over the last five years the unit permit technician has increased,0.6684723
 family protection order and harder,0.55494577
 you know the code is getting higher and there are more inspectors on the street if you wanted us where does USA,0.8098684
 FYI,0.50413597
 everything else beyond that prepare an Open Door,0.8533874
 I think the video challenges,0.8485157
 in terms of,0.57243496
 so the other thing I've heard is that,0.62662196
