transcript,confidence
preciate your time just to give you a little bit of background so I've been working Customer Service Melbourne working with Otis now for a couple of years so I'm used to leave the first was to work on the customer Journey map and then actually did interviews with your customers to come I understand their pain points is some of the opportunity and that was the first experience now that we developed days of the work is really to understand kind of the mechanic and supervise the rate your pain points so we want to understand his kind of what's the current state experience from your perspective what gets in the way what are the opportunities you know more about what your role is and we're doing that through these one-on-one interviews we're also going to be doing some focus groups and maintenance Shadows battling employees and a couple of cities and then there'll be an online survey,0.9515422
so it really is the kind of gas you know what day in the life right I understand your perspective the interviews are all confidential so we are recording them and ask for us to take Note 3 capture everything we can leave those recordings none of that information goes directly oldest and we don't share any comments without us in terms of the one on one seed that all the information We Gather is stared in aggregate because he really want your candor and want you to know there's are no right or wrong answers we really want to get your perspective,0.9201777
you can start out by find me a little bit about your role and how long you been with older,0.8619645
 okay right now I am the construction and modernization manager okay I will how was the service manager for about three years without that was a service manager for elevator for 11 years before coming out in 2013,0.87861603
 and then we had a vacancy for a construction site and they asked me to move over to take over the construction business,0.86156595
 perfect so in terms of the role that you have now how many folks do you have responsibility for what areas do you have,0.9113128
 right now I have 5 construction and modernization team I have 5 teams to do construction and model for me while I take care of our largest account here Harrisburg word for responsible for the capital of Harrisburg the capital of the state of Harrisburg 250 units and I have 4 guys that report to me from the okay,0.8999343
 so in terms of those unit is it a mixture of size of of customer,0.8389448
 that is our largest customer so there is probably 20 buildings in there about a hundred and forty seven units and it all ages All Star everybody have a 1928 pants with Otis car and walk across the street were going to the game as far as material and equipment,0.8780075
 so in terms of the the the role that you've had you know when you've gone into lifetime managerial role or supervisor roses whether it's with older Thor or certainly what kind of experience do you think is important before you go into that management role what what you get and what kind of experience is it necessary to have before you go into that role to really earn a credibility with your team,0.9151667
 very fortunate I was very mild I will tell anybody that I was very lucky I started at the factory for dinner had a factory in Gettysburg where are they manufactured the elevators,0.878489
 I was fortunate I worked there for 5 years before coming to the field,0.93867064
 when I came to the party had an idea how an elevator work what the parts where to find the parts of those kind of things so a new construction we hired a new gentleman named Jim docherty came from the military had no experience whatsoever in elevators and helping him for the last year it's a lot of experience it really has a lot of experience something new everyday I five years as a manager in elevators in the service before you will feel comfortable you will learn new things and have new challenges everyday but it takes at least that long will comfortable in doing your job okay,0.91276133
 story of that there really is that that learning curve you know before you feel confident and it's not just the bleeding it sounds like it's not just about leaving people but it's also about the check.,0.8827048
 Correct correct Every Day's A new challenge it's hard to explain,0.73149294
